,quote,author,tags
0,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
1,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
2,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
3,“To die will be an awfully big adventure.”,J.M. Barrie,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
4,“To die will be an awfully big adventure.”,J.M. Barrie,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
5,“It takes courage to grow up and become who you really are.”,E.E. Cummings,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
6,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
7,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
8,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
9,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind', 'truth', 'death', 'life', 'adventure', 'love', 'courage', 'life', 'better-life-empathy', 'books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing', 'truth', 'inspirational', 'books', 'mind']"
